2024-07-01, User1, post
2024-07-01, User2, like
2024-07-02, User1, comment
2024-07-03, User1, like
2024-07-03, User3, post
2024-07-04, User2, comment
2024-07-05, User3, like
2024-07-05, User1, post
2024-07-06, User1, comment
2024-07-06, User2, like
2024-07-07, User1, like
2024-07-08, User1, post
2024-07-08, User2, comment
2024-07-09, User3, post
2024-07-10, User1, like
2024-07-10, User2, comment
2024-07-11, User1, post
2024-07-11, User3, like
2024-07-12, User2, comment
2024-07-12, User1, like
2024-07-13, User1, post
2024-07-14, User1, comment
2024-07-15, User3, like
2024-07-16, User1, like
2024-07-17, User2, post
2024-07-18, User1, comment
2024-07-19, User1, like
2024-07-20, User3, post
2024-07-21, User1, post
2024-07-22, User1, comment
2024-07-23, User1, like
2024-07-24, User2, post
2024-07-25, User1, comment
